municipality,18-24M,18-25K,25-44M,25-45K,45-64M,45-65K,65+M,65+K
København,0.08839841483,0.03510171238,0.01569082102,-0.05241179312,-0.01135558755,-0.001693184929,-0.02967369075,-0.04405669188
Frederiksberg,0.09574868571,0.004490276093,-0.00857321422,-0.01491415757,-0.003299878681,0.00796514834,-0.04693798022,-0.03447887945
Dragør,-0.03098521443,-0.02369989932,0.1698619378,0.1530740377,-0.1827437583,-0.04916294832,-0.005767810478,-0.0305763447
Tårnby,0.178550452,-0.0004488586575,0.07866219927,-0.02766868971,0.02260796727,-0.09466449031,-0.04614506324,-0.1108935167
Albertslund,0.1530218427,0.09037257183,0.1554505342,-0.1284325575,-0.01383164108,-0.1285600457,-0.03681469922,-0.09120600519
Ballerup,0.1712683031,0.03804872082,0.0685820173,0.006596996551,-0.08756983183,-0.012489771,-0.08382065451,-0.1006157804
Brøndby,0.1534203537,0.1079501265,0.05658618812,-0.07492473637,-0.06916362591,-0.1094873542,-0.03187052045,-0.03251043137
Gentofte,0.3355834225,-0.01292885262,0.004355780019,-0.1126562807,0.03422780735,-0.1643568299,-0.01845081877,-0.0657742279
Gladsaxe,0.1292990847,0.007962882819,0.00965930895,-0.09019211741,0.03937532396,0.01032373537,-0.01964580593,-0.08678241242
Glostrup,0.1059083591,0.06854866679,0.08559354419,-0.1276083578,0.02655099915,-0.0860471321,-0.03259857808,-0.04034750133
Herlev,0.2048293375,0.05978221083,0.05168832357,-0.05602122987,-0.1202450128,-0.02893827782,-0.05986113653,-0.05123421486
Hvidovre,0.06566145143,-0.0012977645,0.1500892916,-0.07605252855,-0.02724499643,-0.05280259336,0.009513443206,-0.06786630344
Høje-Taastrup,0.1785073753,-0.0279206234,0.005117704433,0.03728461494,-0.02999631062,-0.02601242916,-0.06389475341,-0.0730855781
Ishøj,0.07389657125,-0.01717122517,0.07193893517,0.0102957502,-0.03999277295,-0.01193161498,-0.06917617235,-0.01785947116
Lyngby-Taarbæk,0.227254075,-0.00188886178,0.01601466197,-0.1081997839,-0.003480417785,-0.01517688474,-0.06990961161,-0.04461317719
Rødovre,0.08184946517,0.0226986347,0.3059266087,-0.1007492733,-0.07018564633,-0.1046979855,-0.07470366569,-0.06013813774
Vallensbæk,0.213564535,0.05992320265,-0.04809529688,-0.08387557568,-0.06621607659,-0.03554578051,0.003755998325,-0.04351100632
Allerød,0.1145341111,0.03182578023,0.1465368126,-0.01984095087,-0.1000977464,-0.04408816119,-0.03816344701,-0.09070639847
Egedal,0.1243743611,0.07905862403,-0.02259985744,-0.09527530068,-0.05958206541,0.01206190594,-0.01402155566,-0.02401611191
Fredensborg,0.2412294037,0.01271383079,-0.01144431465,-0.06790044433,-0.01405802436,-0.06694564017,-0.05475055075,-0.03884426024
Frederikssund,0.1442526726,0.01825121514,0.01380048178,-0.00515730082,-0.003166018877,-0.05396884431,-0.07725952112,-0.03675268443
Furesø,0.07747559337,0.05469950119,0.01374831564,-0.02800864241,-0.01072063259,-0.04386122202,-0.01531606864,-0.04801684453
Gribskov,0.1714054698,0.07089153881,-0.05105986472,-0.06894622147,-0.007817736214,-0.02006430739,-0.0132852474,-0.08112363139
Halsnæs,0.1223642168,0.2222658655,0.05682302312,-0.1002494952,-0.1198971236,-0.02941257049,-0.08352900978,-0.0683649063
Helsingør,0.1390684716,0.03449064508,0.05202134998,-0.03891732409,-0.0170001802,-0.04914344463,-0.07754296859,-0.0429765491
Hillerød,0.1890054461,0.0007208964715,0.05728000612,0.0157685069,-0.1179283642,-0.07138897992,-0.01271646664,-0.06074104479
