temperature,Sun down,Sun up
-4,0.0017047,0.0001327
-3,-0.0014113,0.0000416
-2,-0.0014622,-0.0015172
-1,-0.0081132,-0.0038402
0,0.0086435,-0.0054737
1,0.0005409,-0.0040810
2,0.0040368,-0.0075618
3,0.0062595,-0.0004044
4,-0.0008879,-0.0043922
5,0.0191162,-0.0053451
6,0.0148349,-0.0012276
7,0.0126524,-0.0001881
8,0.0067401,-0.0013442
9,-0.0007344,0.0035932
10,-0.0079057,-0.0021281
11,-0.0033748,-0.0017106
12,-0.0012706,-0.0021228
13,-0.0206990,-0.0020346
14,-0.0140444,-0.0021781
15,-0.0109006,0.0012376
16,-0.0005721,0.0002109
17,-0.0024933,0.0022383
18,-0.0002143,0.0035606
19,-0.0004988,0.0101747
20,0.0000538,0.0106743
21,0.0000000,0.0075175
22,0.0000000,0.0017130
23,0.0000000,0.0037338
24,0.0000000,0.0002160
25,0.0000000,0.0005053
